dataset,k,variant,runtime_ms,runtime_std,closure_checks,memory_mb,memory_std
chess,10,V1,290.7,3.1,15,10,6.93
chess,10,V2,338.3,4.9,18,8.67,1.15
chess,10,V3,326.7,3.1,15,9.33,1.15
chess,10,V4,359.7,5.5,18,8.67,1.15
chess,20,V1,1026.3,2.1,34,18.11,0.33
chess,20,V2,1499,2,47,24.64,2.61
chess,20,V3,1228.7,12.5,34,21.57,2.15
chess,20,V4,1539.3,13.7,47,25.22,1.58
chess,30,V1,2104.3,22.2,53,47.08,0.94
chess,30,V2,3396.3,67.7,84,60.75,2.31
chess,30,V3,2336.3,7.8,53,53.21,2.81
chess,30,V4,3441,8.9,84,62.4,2.74
chess,40,V1,3020,7,72,68.57,0.71
chess,40,V2,5909.3,23.7,131,99.19,1.41
chess,40,V3,3510.3,34.2,72,70.41,1.22
chess,40,V4,6107.7,2.1,131,103.7,1.78
chess,50,V1,3832.7,5.8,91,80.52,0.89
chess,50,V2,7977.3,8.5,193,150.67,2.68
chess,50,V3,4190,14.7,91,99.68,9.08
chess,50,V4,8191.3,53.1,193,156.12,2.38
