dataset,k,variant,runtime_ms,runtime_std,closure_checks,memory_mb,memory_std
liquor_11frequent,600,V1,9506,0,923,216.82,0
liquor_11frequent,600,V2,10276,0,966,260.5,0
liquor_11frequent,600,V3,10652,0,923,231.04,0
liquor_11frequent,600,V4,10784,0,966,200.43,0
liquor_11frequent,700,V1,11008,0,1079,334.28,0
liquor_11frequent,700,V2,11919,0,1151,243.79,0
liquor_11frequent,700,V3,12441,0,1079,255.46,0
liquor_11frequent,700,V4,12559,0,1151,290.44,0
liquor_11frequent,800,V1,13701,0,1305,320.29,0
liquor_11frequent,800,V2,14743,0,1395,307.12,0
liquor_11frequent,800,V3,15102,0,1305,369.33,0
liquor_11frequent,800,V4,15157,0,1395,342.27,0
liquor_11frequent,900,V1,17700,0,1564,450.1,0
liquor_11frequent,900,V2,19240,0,1680,487.5,0
liquor_11frequent,900,V3,18970,0,1564,473.64,0
liquor_11frequent,900,V4,20362,0,1680,487.92,0
liquor_11frequent,1000,V1,18411,0,1635,435.07,0
liquor_11frequent,1000,V2,21206,0,1808,497.71,0
liquor_11frequent,1000,V3,19490,0,1635,499.1,0
liquor_11frequent,1000,V4,20054,0,1808,496.73,0
