dataset,k,variant,runtime_ms,runtime_std,closure_checks,memory_mb,memory_std
mushroom,30,V1,8533.0,0.0,50,45.21,0.00
mushroom,30,V2,8675.0,0.0,62,45.51,0.00
mushroom,30,V3,9477.0,0.0,50,54.00,0.00
mushroom,30,V4,9699.0,0.0,62,52.94,0.00
mushroom,40,V1,10719.0,0.0,68,69.54,0.00
mushroom,40,V2,11027.0,0.0,99,79.43,0.00
mushroom,40,V3,11669.0,0.0,68,79.57,0.00
mushroom,40,V4,12400.0,0.0,99,85.53,0.00
mushroom,50,V1,12324.0,0.0,84,95.32,0.00
mushroom,50,V2,13443.0,0.0,140,98.63,0.00
mushroom,50,V3,13299.0,0.0,84,113.73,0.00
mushroom,50,V4,14819.0,0.0,140,119.97,0.00
mushroom,60,V1,13454.0,0.0,104,107.56,0.00
mushroom,60,V2,14667.0,0.0,198,135.50,0.00
mushroom,60,V3,12684.0,0.0,104,134.71,0.00
mushroom,60,V4,15212.0,0.0,198,149.16,0.00
mushroom,70,V1,13356.0,0.0,123,131.33,0.00
mushroom,70,V2,16141.0,0.0,261,182.09,0.00
mushroom,70,V3,14018.0,0.0,123,145.00,0.00
mushroom,70,V4,17479.0,0.0,261,213.67,0.00
