dataset,k,variant,runtime_ms,runtime_std,closure_checks,memory_mb,memory_std
retail,500,V1,26553,0,764,406.87,0
retail,500,V2,26385,0,813,365.29,0
retail,500,V3,27307,0,764,340.93,0
retail,500,V4,27109,0,813,439.26,0
retail,600,V1,27814,0,919,565.68,0
retail,600,V2,27907,0,984,507.86,0
retail,600,V3,28663,0,919,366.57,0
retail,600,V4,29141,0,984,508.73,0
retail,700,V1,28806,0,1084,470.21,0
retail,700,V2,29043,0,1160,571.9,0
retail,700,V3,30366,0,1084,560.06,0
retail,700,V4,30558,0,1160,524.92,0
retail,800,V1,30593,0,1239,691.42,0
retail,800,V2,31146,0,1329,653.87,0
retail,800,V3,32168,0,1239,664.71,0
retail,800,V4,32859,0,1329,686.03,0
retail,900,V1,32149,0,1388,771.54,0
retail,900,V2,32718,0,1486,694.75,0
retail,900,V3,34268,0,1388,669.4,0
retail,900,V4,34680,0,1486,665.28,0
